stress_axis,stress_level,method,task_success,ci95_success,hidden_mechanism_f1,false_abstention,unsafe_action,bloat_index,intervention_cost
contact_mode_shift,0.0,ensemble_variance_gate,0.61250,0.03546,0.09557,0.00000,0.09107,0.43156,0.00300
contact_mode_shift,0.0,conformal_risk_gate,0.52500,0.05100,0.00000,0.16786,0.09286,0.61449,0.06500
contact_mode_shift,0.0,active_probe_then_plan,0.67857,0.03732,0.00000,0.00000,0.11607,0.27166,0.02657
contact_mode_shift,0.0,robust_mpc_fallback,0.65357,0.04026,0.00000,0.00000,0.02857,0.38115,0.08179
contact_mode_shift,0.0,uncertainty_bloat_audit,0.60536,0.04031,0.03175,0.00000,0.08571,0.39176,0.00011
contact_mode_shift,0.0,oracle_mechanics_repair,0.67500,0.04310,1.00000,0.00000,0.08571,0.21256,0.01600
contact_mode_shift,0.2,ensemble_variance_gate,0.58571,0.05195,0.09550,0.00179,0.12857,0.45387,0.00750
contact_mode_shift,0.2,conformal_risk_gate,0.47321,0.02696,0.02857,0.14464,0.09286,0.64210,0.08400
contact_mode_shift,0.2,active_probe_then_plan,0.66429,0.03227,0.01361,0.00000,0.12500,0.25712,0.03207
contact_mode_shift,0.2,robust_mpc_fallback,0.63393,0.03991,0.00000,0.00000,0.02143,0.39020,0.08482
contact_mode_shift,0.2,uncertainty_bloat_audit,0.59643,0.03011,0.04218,0.00000,0.10714,0.40031,0.00046
contact_mode_shift,0.2,oracle_mechanics_repair,0.70357,0.04528,1.00000,0.00000,0.09286,0.18470,0.03200
contact_mode_shift,0.4,ensemble_variance_gate,0.54464,0.03417,0.16770,0.00357,0.13750,0.47890,0.01750
contact_mode_shift,0.4,conformal_risk_gate,0.43036,0.02666,0.01818,0.15179,0.09821,0.68274,0.10700
contact_mode_shift,0.4,active_probe_then_plan,0.65179,0.03441,0.04493,0.00000,0.16429,0.23890,0.03893
contact_mode_shift,0.4,robust_mpc_fallback,0.62679,0.03357,0.00000,0.00000,0.04643,0.40073,0.08946
contact_mode_shift,0.4,uncertainty_bloat_audit,0.57500,0.04210,0.08611,0.00000,0.15714,0.40789,0.00186
contact_mode_shift,0.4,oracle_mechanics_repair,0.72143,0.03575,1.00000,0.00000,0.08393,0.16001,0.04700
contact_mode_shift,0.6,ensemble_variance_gate,0.51607,0.04062,0.14589,0.00000,0.16429,0.50440,0.02250
contact_mode_shift,0.6,conformal_risk_gate,0.34464,0.03737,0.02324,0.14643,0.08393,0.71712,0.13050
contact_mode_shift,0.6,active_probe_then_plan,0.65893,0.03732,0.07481,0.00000,0.18214,0.23131,0.04321
contact_mode_shift,0.6,robust_mpc_fallback,0.62321,0.04518,0.00000,0.00000,0.04643,0.40981,0.09143
contact_mode_shift,0.6,uncertainty_bloat_audit,0.54286,0.03699,0.13503,0.00000,0.18571,0.41024,0.00361
contact_mode_shift,0.6,oracle_mechanics_repair,0.75179,0.04854,1.00000,0.00000,0.08393,0.13573,0.06100
contact_mode_shift,0.8,ensemble_variance_gate,0.45893,0.04862,0.23444,0.00000,0.20536,0.52037,0.03050
contact_mode_shift,0.8,conformal_risk_gate,0.28036,0.02556,0.04961,0.13036,0.08036,0.75545,0.15800
contact_mode_shift,0.8,active_probe_then_plan,0.63036,0.03111,0.08161,0.00000,0.23214,0.22368,0.04814
contact_mode_shift,0.8,robust_mpc_fallback,0.60536,0.03375,0.00000,0.00000,0.06429,0.42193,0.09321
contact_mode_shift,0.8,uncertainty_bloat_audit,0.53036,0.03459,0.14230,0.00000,0.21964,0.41758,0.00546
contact_mode_shift,0.8,oracle_mechanics_repair,0.77143,0.04833,1.00000,0.00000,0.10536,0.11032,0.07575
contact_mode_shift,1.0,ensemble_variance_gate,0.40536,0.04563,0.26831,0.00000,0.20714,0.54616,0.05050
contact_mode_shift,1.0,conformal_risk_gate,0.25357,0.03654,0.06154,0.08750,0.06607,0.77276,0.17250
contact_mode_shift,1.0,active_probe_then_plan,0.61964,0.02556,0.25817,0.00000,0.25357,0.20797,0.05571
contact_mode_shift,1.0,robust_mpc_fallback,0.60179,0.03482,0.00000,0.00000,0.08571,0.42930,0.09339
contact_mode_shift,1.0,uncertainty_bloat_audit,0.53929,0.04854,0.35456,0.00000,0.22143,0.38204,0.01686
contact_mode_shift,1.0,oracle_mechanics_repair,0.78036,0.03417,1.00000,0.00000,0.10179,0.09213,0.08600
friction_stiction_shift,0.0,ensemble_variance_gate,0.61429,0.03643,0.03545,0.00000,0.12500,0.44777,0.00350
friction_stiction_shift,0.0,conformal_risk_gate,0.50893,0.01906,0.00000,0.15536,0.09821,0.62970,0.07250
friction_stiction_shift,0.0,active_probe_then_plan,0.67321,0.02949,0.00000,0.00000,0.13214,0.26256,0.03011
friction_stiction_shift,0.0,robust_mpc_fallback,0.63036,0.03775,0.00000,0.00000,0.01786,0.38737,0.08482
friction_stiction_shift,0.0,uncertainty_bloat_audit,0.59286,0.04067,0.01786,0.00000,0.10893,0.39858,0.00011
friction_stiction_shift,0.0,oracle_mechanics_repair,0.67500,0.03381,1.00000,0.00000,0.10000,0.20094,0.02300
friction_stiction_shift,0.2,ensemble_variance_gate,0.60536,0.05316,0.04175,0.00000,0.14464,0.45796,0.00450
friction_stiction_shift,0.2,conformal_risk_gate,0.47321,0.05277,0.01429,0.13750,0.09821,0.64823,0.08700
friction_stiction_shift,0.2,active_probe_then_plan,0.66964,0.03111,0.01504,0.00000,0.16071,0.24948,0.03411
friction_stiction_shift,0.2,robust_mpc_fallback,0.64107,0.04528,0.00000,0.00000,0.02679,0.39165,0.08554
friction_stiction_shift,0.2,uncertainty_bloat_audit,0.58393,0.04268,0.06222,0.00000,0.11607,0.40075,0.00082
friction_stiction_shift,0.2,oracle_mechanics_repair,0.70179,0.03523,1.00000,0.00000,0.09464,0.18409,0.03250
friction_stiction_shift,0.4,ensemble_variance_gate,0.55714,0.04272,0.08279,0.00893,0.16250,0.47873,0.01500
friction_stiction_shift,0.4,conformal_risk_gate,0.42143,0.04432,0.03094,0.11071,0.08929,0.66183,0.09800
