stress_axis,stress_level,method,metric,mean,ci95,seeds
contact_friction_shift,0.0,ensemble_variance_gate,task_success,0.40250,0.02634,10
contact_friction_shift,0.0,ensemble_variance_gate,hidden_mechanism_f1,0.39687,0.04061,10
contact_friction_shift,0.0,ensemble_variance_gate,false_abstention,0.23667,0.02579,10
contact_friction_shift,0.0,ensemble_variance_gate,unsafe_action,0.15083,0.01659,10
contact_friction_shift,0.0,ensemble_variance_gate,repair_precision,0.29048,0.14649,10
contact_friction_shift,0.0,ensemble_variance_gate,calibration_error,0.27981,0.00199,10
contact_friction_shift,0.0,ensemble_variance_gate,bloat_index,0.61187,0.00490,10
contact_friction_shift,0.0,ensemble_variance_gate,probe_efficiency,0.26000,0.11920,10
contact_friction_shift,0.0,ensemble_variance_gate,intervention_cost,0.04514,0.00271,10
contact_friction_shift,0.0,ensemble_variance_gate,oracle_regret,0.25694,0.01600,10
contact_friction_shift,0.0,ensemble_variance_gate,deployment_risk,0.36761,0.00383,10
contact_friction_shift,0.0,ensemble_variance_gate,robust_utility,-0.19393,0.04579,10
contact_friction_shift,0.0,conformal_risk_gate,task_success,0.30417,0.02098,10
contact_friction_shift,0.0,conformal_risk_gate,hidden_mechanism_f1,0.20621,0.03343,10
contact_friction_shift,0.0,conformal_risk_gate,false_abstention,0.47917,0.02591,10
contact_friction_shift,0.0,conformal_risk_gate,unsafe_action,0.05667,0.01329,10
contact_friction_shift,0.0,conformal_risk_gate,repair_precision,0.20000,0.26133,10
contact_friction_shift,0.0,conformal_risk_gate,calibration_error,0.32493,0.00178,10
contact_friction_shift,0.0,conformal_risk_gate,bloat_index,0.78772,0.00335,10
contact_friction_shift,0.0,conformal_risk_gate,probe_efficiency,0.16667,0.20078,10
contact_friction_shift,0.0,conformal_risk_gate,intervention_cost,0.06212,0.00218,10
contact_friction_shift,0.0,conformal_risk_gate,oracle_regret,0.38970,0.01492,10
contact_friction_shift,0.0,conformal_risk_gate,deployment_risk,0.37454,0.00289,10
contact_friction_shift,0.0,conformal_risk_gate,robust_utility,-0.39809,0.03517,10
contact_friction_shift,0.0,active_probe_then_plan,task_success,0.55417,0.02736,10
contact_friction_shift,0.0,active_probe_then_plan,hidden_mechanism_f1,0.59860,0.01859,10
contact_friction_shift,0.0,active_probe_then_plan,false_abstention,0.06250,0.01564,10
contact_friction_shift,0.0,active_probe_then_plan,unsafe_action,0.17917,0.02757,10
contact_friction_shift,0.0,active_probe_then_plan,repair_precision,0.38015,0.03442,10
contact_friction_shift,0.0,active_probe_then_plan,calibration_error,0.11324,0.00228,10
contact_friction_shift,0.0,active_probe_then_plan,bloat_index,0.32765,0.00266,10
contact_friction_shift,0.0,active_probe_then_plan,probe_efficiency,0.59819,0.03824,10
contact_friction_shift,0.0,active_probe_then_plan,intervention_cost,0.07899,0.00256,10
contact_friction_shift,0.0,active_probe_then_plan,oracle_regret,0.10951,0.00828,10
contact_friction_shift,0.0,active_probe_then_plan,deployment_risk,0.27893,0.00241,10
contact_friction_shift,0.0,active_probe_then_plan,robust_utility,0.13579,0.05577,10
contact_friction_shift,0.0,robust_mpc_fallback,task_success,0.61667,0.01722,10
contact_friction_shift,0.0,robust_mpc_fallback,hidden_mechanism_f1,0.14505,0.03053,10
contact_friction_shift,0.0,robust_mpc_fallback,false_abstention,0.05417,0.01294,10
contact_friction_shift,0.0,robust_mpc_fallback,unsafe_action,0.06167,0.01725,10
contact_friction_shift,0.0,robust_mpc_fallback,repair_precision,0.31667,0.22553,10
contact_friction_shift,0.0,robust_mpc_fallback,calibration_error,0.22586,0.00162,10
contact_friction_shift,0.0,robust_mpc_fallback,bloat_index,0.52665,0.00368,10
contact_friction_shift,0.0,robust_mpc_fallback,probe_efficiency,0.10000,0.19600,10
contact_friction_shift,0.0,robust_mpc_fallback,intervention_cost,0.03473,0.00121,10
contact_friction_shift,0.0,robust_mpc_fallback,oracle_regret,0.09129,0.00724,10
contact_friction_shift,0.0,robust_mpc_fallback,deployment_risk,0.25617,0.00241,10
contact_friction_shift,0.0,robust_mpc_fallback,robust_utility,0.31555,0.02623,10
contact_friction_shift,0.0,residual_dynamics_repair,task_success,0.55000,0.03258,10
contact_friction_shift,0.0,residual_dynamics_repair,hidden_mechanism_f1,0.51946,0.02946,10
contact_friction_shift,0.0,residual_dynamics_repair,false_abstention,0.06750,0.01321,10
contact_friction_shift,0.0,residual_dynamics_repair,unsafe_action,0.18000,0.03177,10
contact_friction_shift,0.0,residual_dynamics_repair,repair_precision,0.29064,0.04235,10
contact_friction_shift,0.0,residual_dynamics_repair,calibration_error,0.15034,0.00127,10
