split,reference,metric,mean_diff,ci95_diff,lower95_diff,upper95_diff,seeds
actuator_saturation_shift,mean_world_model_mpc,task_success,0.08542,0.03010,0.05532,0.11552,10
actuator_saturation_shift,mean_world_model_mpc,hidden_mechanism_f1,0.40853,0.02871,0.37982,0.43724,10
actuator_saturation_shift,mean_world_model_mpc,unsafe_action,-0.05677,0.01945,-0.07623,-0.03732,10
actuator_saturation_shift,mean_world_model_mpc,false_abstention,0.01406,0.01159,0.00247,0.02565,10
actuator_saturation_shift,mean_world_model_mpc,bloat_index,0.02213,0.00487,0.01725,0.02700,10
actuator_saturation_shift,mean_world_model_mpc,oracle_regret,-0.03376,0.00870,-0.04246,-0.02506,10
actuator_saturation_shift,mean_world_model_mpc,robust_utility,0.14518,0.05717,0.08801,0.20236,10
actuator_saturation_shift,ensemble_variance_gate,task_success,0.17448,0.02778,0.14670,0.20226,10
actuator_saturation_shift,ensemble_variance_gate,hidden_mechanism_f1,0.17940,0.04116,0.13824,0.22056,10
actuator_saturation_shift,ensemble_variance_gate,unsafe_action,0.00729,0.02248,-0.01519,0.02977,10
actuator_saturation_shift,ensemble_variance_gate,false_abstention,-0.16354,0.01668,-0.18023,-0.14686,10
actuator_saturation_shift,ensemble_variance_gate,bloat_index,-0.25682,0.00531,-0.26213,-0.25151,10
actuator_saturation_shift,ensemble_variance_gate,oracle_regret,-0.12840,0.01148,-0.13988,-0.11692,10
actuator_saturation_shift,ensemble_variance_gate,robust_utility,0.36114,0.05373,0.30740,0.41487,10
actuator_saturation_shift,mc_dropout_uncertainty,task_success,0.20000,0.02753,0.17247,0.22753,10
actuator_saturation_shift,mc_dropout_uncertainty,hidden_mechanism_f1,0.20346,0.04581,0.15766,0.24927,10
actuator_saturation_shift,mc_dropout_uncertainty,unsafe_action,-0.01927,0.03163,-0.05090,0.01236,10
actuator_saturation_shift,mc_dropout_uncertainty,false_abstention,-0.15365,0.02836,-0.18201,-0.12529,10
actuator_saturation_shift,mc_dropout_uncertainty,bloat_index,-0.34730,0.00488,-0.35218,-0.34242,10
actuator_saturation_shift,mc_dropout_uncertainty,oracle_regret,-0.13218,0.01668,-0.14886,-0.11549,10
actuator_saturation_shift,mc_dropout_uncertainty,robust_utility,0.44190,0.07061,0.37129,0.51251,10
actuator_saturation_shift,conformal_risk_gate,task_success,0.28229,0.02644,0.25586,0.30873,10
actuator_saturation_shift,conformal_risk_gate,hidden_mechanism_f1,0.27002,0.03868,0.23134,0.30870,10
actuator_saturation_shift,conformal_risk_gate,unsafe_action,0.05937,0.01647,0.04290,0.07585,10
actuator_saturation_shift,conformal_risk_gate,false_abstention,-0.36042,0.02381,-0.38423,-0.33661,10
actuator_saturation_shift,conformal_risk_gate,bloat_index,-0.42034,0.00438,-0.42472,-0.41596,10
actuator_saturation_shift,conformal_risk_gate,oracle_regret,-0.23754,0.01303,-0.25057,-0.22450,10
actuator_saturation_shift,conformal_risk_gate,robust_utility,0.59113,0.04493,0.54620,0.63606,10
actuator_saturation_shift,epistemic_ensemble_planner,task_success,0.08854,0.03957,0.04898,0.12811,10
actuator_saturation_shift,epistemic_ensemble_planner,hidden_mechanism_f1,0.13051,0.02447,0.10604,0.15498,10
actuator_saturation_shift,epistemic_ensemble_planner,unsafe_action,-0.01198,0.02614,-0.03812,0.01416,10
actuator_saturation_shift,epistemic_ensemble_planner,false_abstention,-0.05104,0.03288,-0.08392,-0.01817,10
actuator_saturation_shift,epistemic_ensemble_planner,bloat_index,-0.18035,0.00374,-0.18409,-0.17661,10
actuator_saturation_shift,epistemic_ensemble_planner,oracle_regret,-0.05051,0.02038,-0.07089,-0.03013,10
actuator_saturation_shift,epistemic_ensemble_planner,robust_utility,0.19111,0.08431,0.10680,0.27543,10
actuator_saturation_shift,active_probe_then_plan,task_success,0.03646,0.02726,0.00919,0.06372,10
actuator_saturation_shift,active_probe_then_plan,hidden_mechanism_f1,0.02187,0.04238,-0.02050,0.06425,10
