split,method,metric,mean,ci95,seeds,rows_per_seed
hard_aggregate,active_probe_then_plan,bloat_index,0.31471,0.00215,10,576
hard_aggregate,active_probe_then_plan,calibration_error,0.11393,0.00037,10,576
hard_aggregate,active_probe_then_plan,deployment_risk,0.26355,0.00117,10,576
hard_aggregate,active_probe_then_plan,false_abstention,0.04861,0.00544,10,576
hard_aggregate,active_probe_then_plan,hidden_mechanism_f1,0.56956,0.01702,10,576
hard_aggregate,active_probe_then_plan,intervention_cost,0.07725,0.00122,10,576
hard_aggregate,active_probe_then_plan,oracle_regret,0.08547,0.00416,10,576
hard_aggregate,active_probe_then_plan,probe_efficiency,0.58224,0.02486,10,576
hard_aggregate,active_probe_then_plan,repair_precision,0.36890,0.01595,10,576
hard_aggregate,active_probe_then_plan,robust_utility,0.24197,0.02466,10,576
hard_aggregate,active_probe_then_plan,task_success,0.60938,0.01263,10,576
hard_aggregate,active_probe_then_plan,unsafe_action,0.15538,0.00879,10,576
hard_aggregate,bayesian_model_expansion,bloat_index,0.41771,0.00333,10,576
hard_aggregate,bayesian_model_expansion,calibration_error,0.16888,0.00109,10,576
hard_aggregate,bayesian_model_expansion,deployment_risk,0.28016,0.00236,10,576
hard_aggregate,bayesian_model_expansion,false_abstention,0.11389,0.01253,10,576
hard_aggregate,bayesian_model_expansion,hidden_mechanism_f1,0.54754,0.01270,10,576
hard_aggregate,bayesian_model_expansion,intervention_cost,0.05920,0.00118,10,576
hard_aggregate,bayesian_model_expansion,oracle_regret,0.12934,0.00805,10,576
hard_aggregate,bayesian_model_expansion,probe_efficiency,0.59251,0.03507,10,576
hard_aggregate,bayesian_model_expansion,repair_precision,0.31935,0.02201,10,576
hard_aggregate,bayesian_model_expansion,robust_utility,0.15082,0.03635,10,576
hard_aggregate,bayesian_model_expansion,task_success,0.56111,0.01820,10,576
hard_aggregate,bayesian_model_expansion,unsafe_action,0.13195,0.01032,10,576
hard_aggregate,conformal_risk_gate,bloat_index,0.76475,0.00131,10,576
hard_aggregate,conformal_risk_gate,calibration_error,0.32593,0.00074,10,576
hard_aggregate,conformal_risk_gate,deployment_risk,0.35629,0.00132,10,576
