split,method,metric,mean,ci95,seeds,rows_per_seed
actuator_saturation_shift,active_probe_then_plan,bloat_index,0.29646,0.00489,10,192
actuator_saturation_shift,active_probe_then_plan,calibration_error,0.11850,0.00129,10,192
actuator_saturation_shift,active_probe_then_plan,deployment_risk,0.24093,0.00266,10,192
actuator_saturation_shift,active_probe_then_plan,false_abstention,0.03229,0.00996,10,192
actuator_saturation_shift,active_probe_then_plan,hidden_mechanism_f1,0.51680,0.03358,10,192
actuator_saturation_shift,active_probe_then_plan,intervention_cost,0.07586,0.00223,10,192
actuator_saturation_shift,active_probe_then_plan,oracle_regret,0.05593,0.00709,10,192
actuator_saturation_shift,active_probe_then_plan,probe_efficiency,0.60561,0.03225,10,192
actuator_saturation_shift,active_probe_then_plan,repair_precision,0.29579,0.02826,10,192
actuator_saturation_shift,active_probe_then_plan,robust_utility,0.32437,0.04101,10,192
actuator_saturation_shift,active_probe_then_plan,task_success,0.64844,0.02349,10,192
actuator_saturation_shift,active_probe_then_plan,unsafe_action,0.14167,0.01754,10,192
actuator_saturation_shift,bayesian_model_expansion,bloat_index,0.39690,0.00456,10,192
actuator_saturation_shift,bayesian_model_expansion,calibration_error,0.17649,0.00194,10,192
actuator_saturation_shift,bayesian_model_expansion,deployment_risk,0.25740,0.00275,10,192
actuator_saturation_shift,bayesian_model_expansion,false_abstention,0.10156,0.01438,10,192
actuator_saturation_shift,bayesian_model_expansion,hidden_mechanism_f1,0.49990,0.03692,10,192
actuator_saturation_shift,bayesian_model_expansion,intervention_cost,0.05851,0.00164,10,192
actuator_saturation_shift,bayesian_model_expansion,oracle_regret,0.09786,0.00854,10,192
actuator_saturation_shift,bayesian_model_expansion,probe_efficiency,0.55758,0.07480,10,192
actuator_saturation_shift,bayesian_model_expansion,repair_precision,0.26652,0.03378,10,192
actuator_saturation_shift,bayesian_model_expansion,robust_utility,0.24265,0.02856,10,192
actuator_saturation_shift,bayesian_model_expansion,task_success,0.60417,0.01820,10,192
actuator_saturation_shift,bayesian_model_expansion,unsafe_action,0.11354,0.01298,10,192
actuator_saturation_shift,conformal_risk_gate,bloat_index,0.73508,0.00329,10,192
actuator_saturation_shift,conformal_risk_gate,calibration_error,0.33268,0.00179,10,192
actuator_saturation_shift,conformal_risk_gate,deployment_risk,0.32847,0.00245,10,192
actuator_saturation_shift,conformal_risk_gate,false_abstention,0.41979,0.01950,10,192
actuator_saturation_shift,conformal_risk_gate,hidden_mechanism_f1,0.26865,0.03069,10,192
actuator_saturation_shift,conformal_risk_gate,intervention_cost,0.05677,0.00163,10,192
actuator_saturation_shift,conformal_risk_gate,oracle_regret,0.30323,0.00979,10,192
actuator_saturation_shift,conformal_risk_gate,probe_efficiency,0.20000,0.26133,10,192
actuator_saturation_shift,conformal_risk_gate,repair_precision,0.18190,0.08051,10,192
actuator_saturation_shift,conformal_risk_gate,robust_utility,-0.19167,0.02347,10,192
actuator_saturation_shift,conformal_risk_gate,task_success,0.40260,0.01646,10,192
actuator_saturation_shift,conformal_risk_gate,unsafe_action,0.03594,0.00737,10,192
actuator_saturation_shift,ensemble_variance_gate,bloat_index,0.57156,0.00418,10,192
actuator_saturation_shift,ensemble_variance_gate,calibration_error,0.29345,0.00069,10,192
actuator_saturation_shift,ensemble_variance_gate,deployment_risk,0.32624,0.00324,10,192
actuator_saturation_shift,ensemble_variance_gate,false_abstention,0.22292,0.00898,10,192
actuator_saturation_shift,ensemble_variance_gate,hidden_mechanism_f1,0.35927,0.01456,10,192
actuator_saturation_shift,ensemble_variance_gate,intervention_cost,0.04490,0.00097,10,192
actuator_saturation_shift,ensemble_variance_gate,oracle_regret,0.19409,0.00682,10,192
actuator_saturation_shift,ensemble_variance_gate,probe_efficiency,0.34028,0.09991,10,192
actuator_saturation_shift,ensemble_variance_gate,repair_precision,0.20035,0.05658,10,192
actuator_saturation_shift,ensemble_variance_gate,robust_utility,0.03833,0.02755,10,192
actuator_saturation_shift,ensemble_variance_gate,task_success,0.51042,0.02036,10,192
actuator_saturation_shift,ensemble_variance_gate,unsafe_action,0.08802,0.01015,10,192
actuator_saturation_shift,epistemic_ensemble_planner,bloat_index,0.49509,0.00328,10,192
actuator_saturation_shift,epistemic_ensemble_planner,calibration_error,0.23524,0.00198,10,192
actuator_saturation_shift,epistemic_ensemble_planner,deployment_risk,0.29422,0.00198,10,192
actuator_saturation_shift,epistemic_ensemble_planner,false_abstention,0.11042,0.02420,10,192
actuator_saturation_shift,epistemic_ensemble_planner,hidden_mechanism_f1,0.40816,0.03015,10,192
actuator_saturation_shift,epistemic_ensemble_planner,intervention_cost,0.04151,0.00223,10,192
actuator_saturation_shift,epistemic_ensemble_planner,oracle_regret,0.11620,0.01458,10,192
actuator_saturation_shift,epistemic_ensemble_planner,probe_efficiency,0.49094,0.06325,10,192
actuator_saturation_shift,epistemic_ensemble_planner,repair_precision,0.24537,0.05119,10,192
actuator_saturation_shift,epistemic_ensemble_planner,robust_utility,0.20835,0.04636,10,192
actuator_saturation_shift,epistemic_ensemble_planner,task_success,0.59635,0.02659,10,192
actuator_saturation_shift,epistemic_ensemble_planner,unsafe_action,0.10729,0.01405,10,192
actuator_saturation_shift,mc_dropout_uncertainty,bloat_index,0.66205,0.00299,10,192
actuator_saturation_shift,mc_dropout_uncertainty,calibration_error,0.37937,0.00171,10,192
actuator_saturation_shift,mc_dropout_uncertainty,deployment_risk,0.36409,0.00193,10,192
actuator_saturation_shift,mc_dropout_uncertainty,false_abstention,0.21302,0.02083,10,192
actuator_saturation_shift,mc_dropout_uncertainty,hidden_mechanism_f1,0.33521,0.03880,10,192
actuator_saturation_shift,mc_dropout_uncertainty,intervention_cost,0.04322,0.00210,10,192
actuator_saturation_shift,mc_dropout_uncertainty,oracle_regret,0.19787,0.01173,10,192
actuator_saturation_shift,mc_dropout_uncertainty,probe_efficiency,0.47485,0.18853,10,192
actuator_saturation_shift,mc_dropout_uncertainty,repair_precision,0.22118,0.06867,10,192
actuator_saturation_shift,mc_dropout_uncertainty,robust_utility,-0.04244,0.03802,10,192
actuator_saturation_shift,mc_dropout_uncertainty,task_success,0.48490,0.01614,10,192
actuator_saturation_shift,mc_dropout_uncertainty,unsafe_action,0.11458,0.01839,10,192
actuator_saturation_shift,mean_world_model_mpc,bloat_index,0.29262,0.00353,10,192
actuator_saturation_shift,mean_world_model_mpc,calibration_error,0.13524,0.00081,10,192
actuator_saturation_shift,mean_world_model_mpc,deployment_risk,0.25832,0.00261,10,192
actuator_saturation_shift,mean_world_model_mpc,false_abstention,0.04531,0.01010,10,192
actuator_saturation_shift,mean_world_model_mpc,hidden_mechanism_f1,0.13014,0.01997,10,192
actuator_saturation_shift,mean_world_model_mpc,intervention_cost,0.02505,0.00090,10,192
actuator_saturation_shift,mean_world_model_mpc,oracle_regret,0.09945,0.00554,10,192
actuator_saturation_shift,mean_world_model_mpc,probe_efficiency,0.24167,0.13870,10,192
actuator_saturation_shift,mean_world_model_mpc,repair_precision,0.30000,0.29939,10,192
actuator_saturation_shift,mean_world_model_mpc,robust_utility,0.25428,0.04086,10,192
actuator_saturation_shift,mean_world_model_mpc,task_success,0.59948,0.02265,10,192
actuator_saturation_shift,mean_world_model_mpc,unsafe_action,0.15208,0.01679,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,bloat_index,0.31474,0.00310,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,calibration_error,0.12213,0.00137,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,deployment_risk,0.23015,0.00209,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,false_abstention,0.05937,0.01485,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,hidden_mechanism_f1,0.53867,0.03320,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,intervention_cost,0.06838,0.00280,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,oracle_regret,0.06569,0.01007,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,probe_efficiency,0.68911,0.06314,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,repair_precision,0.25903,0.03487,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,robust_utility,0.39947,0.04353,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,task_success,0.68490,0.01809,10,192
actuator_saturation_shift,mechanics_gap_auditor_v5,unsafe_action,0.09531,0.01781,10,192
actuator_saturation_shift,oracle_full_state_policy,bloat_index,0.06168,0.00212,10,192
actuator_saturation_shift,oracle_full_state_policy,calibration_error,0.05629,0.00098,10,192
actuator_saturation_shift,oracle_full_state_policy,deployment_risk,0.11835,0.00128,10,192
