split,method,seed,rows,task_success,hidden_mechanism_f1,false_abstention,unsafe_action,repair_precision,calibration_error,bloat_index,probe_efficiency,intervention_cost,oracle_regret,deployment_risk,robust_utility
actuator_saturation_shift,active_probe_then_plan,0,192,0.64062,0.58242,0.03125,0.15625,0.26761,0.12024,0.28840,0.58621,0.07487,0.05549,0.23694,0.30157
actuator_saturation_shift,active_probe_then_plan,1,192,0.58854,0.44318,0.02604,0.17188,0.24194,0.12038,0.29382,0.71642,0.07586,0.05241,0.23958,0.23185
actuator_saturation_shift,active_probe_then_plan,2,192,0.71354,0.48315,0.01042,0.08854,0.30303,0.11656,0.29443,0.55072,0.07680,0.03432,0.23832,0.47572
actuator_saturation_shift,active_probe_then_plan,3,192,0.62500,0.52514,0.02083,0.10938,0.26316,0.11754,0.29632,0.55072,0.07482,0.04367,0.24190,0.35234
actuator_saturation_shift,active_probe_then_plan,4,192,0.60417,0.57143,0.01042,0.16146,0.35821,0.11593,0.29231,0.61538,0.07524,0.04923,0.24148,0.26958
actuator_saturation_shift,active_probe_then_plan,5,192,0.66146,0.47253,0.05208,0.11979,0.27119,0.12064,0.29827,0.61538,0.07607,0.06252,0.24006,0.35229
actuator_saturation_shift,active_probe_then_plan,6,192,0.63021,0.48619,0.03125,0.15625,0.25862,0.11672,0.29878,0.59701,0.07503,0.05707,0.24041,0.28749
actuator_saturation_shift,active_probe_then_plan,7,192,0.67188,0.60396,0.04167,0.17188,0.34568,0.11720,0.28655,0.60563,0.08493,0.06716,0.23685,0.30065
actuator_saturation_shift,active_probe_then_plan,8,192,0.66667,0.47312,0.04167,0.15104,0.28000,0.11791,0.31495,0.55738,0.07055,0.06733,0.25193,0.31806
actuator_saturation_shift,active_probe_then_plan,9,192,0.68229,0.52688,0.05729,0.13021,0.36842,0.12189,0.30073,0.66129,0.07446,0.07013,0.24183,0.35416
actuator_saturation_shift,bayesian_model_expansion,0,192,0.57812,0.43114,0.13021,0.08333,0.17778,0.18262,0.40482,0.54167,0.05963,0.11060,0.26003,0.23316
actuator_saturation_shift,bayesian_model_expansion,1,192,0.58854,0.42581,0.11979,0.11979,0.21277,0.18078,0.40134,0.55556,0.05661,0.10800,0.25822,0.20581
actuator_saturation_shift,bayesian_model_expansion,2,192,0.59375,0.52459,0.10417,0.09896,0.29787,0.17689,0.39332,0.63636,0.05723,0.09468,0.25408,0.25212
actuator_saturation_shift,bayesian_model_expansion,3,192,0.63542,0.54749,0.07812,0.14062,0.30159,0.17363,0.38571,0.63158,0.05874,0.08575,0.25057,0.25909
actuator_saturation_shift,bayesian_model_expansion,4,192,0.58333,0.44970,0.09896,0.13542,0.32609,0.17659,0.40774,0.36364,0.05650,0.10238,0.26179,0.19121
actuator_saturation_shift,bayesian_model_expansion,5,192,0.65104,0.50286,0.08854,0.08854,0.23077,0.17541,0.39102,0.56250,0.05473,0.08812,0.25400,0.33387
actuator_saturation_shift,bayesian_model_expansion,6,192,0.59896,0.46927,0.07292,0.13021,0.28358,0.17564,0.39368,0.42105,0.05958,0.07870,0.25391,0.23868
actuator_saturation_shift,bayesian_model_expansion,7,192,0.56771,0.48168,0.13542,0.11458,0.21875,0.17676,0.40511,0.72222,0.06317,0.12156,0.26536,0.17519
actuator_saturation_shift,bayesian_model_expansion,8,192,0.64583,0.60733,0.07292,0.13021,0.26984,0.17260,0.39103,0.70370,0.06208,0.08389,0.25952,0.28316
actuator_saturation_shift,bayesian_model_expansion,9,192,0.59896,0.55914,0.11458,0.09375,0.34615,0.17393,0.39523,0.43750,0.05682,0.10488,0.25656,0.25417
