split,ablation,task_success,task_success_ci95,hidden_mechanism_f1,hidden_mechanism_f1_ci95,false_abstention,false_abstention_ci95,unsafe_action,unsafe_action_ci95,repair_precision,repair_precision_ci95,calibration_error,calibration_error_ci95,bloat_index,bloat_index_ci95,probe_efficiency,probe_efficiency_ci95,intervention_cost,intervention_cost_ci95,oracle_regret,oracle_regret_ci95,deployment_risk,deployment_risk_ci95,robust_utility,robust_utility_ci95
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,0.60714,0.03017,0.60004,0.01582,0.09464,0.00960,0.12143,0.01758,0.34214,0.03804,0.11830,0.00076,0.33263,0.00376,0.61647,0.05565,0.06912,0.00217,0.10607,0.00693,0.24846,0.00239,0.24978,0.04976
missing_contact_mode_shift,minus_mechanism_classifier,0.59524,0.02365,0.44797,0.02042,0.07083,0.01021,0.13214,0.01443,0.27858,0.02939,0.16805,0.00117,0.47768,0.00242,0.45152,0.06091,0.06310,0.00294,0.09698,0.00638,0.29480,0.00235,0.20060,0.03587
missing_contact_mode_shift,minus_uncertainty_bloat_index,0.50179,0.02159,0.55205,0.02644,0.20417,0.01766,0.13333,0.01706,0.31509,0.04157,0.16887,0.00183,0.61054,0.00391,0.54313,0.04775,0.07531,0.00214,0.17968,0.01037,0.33634,0.00326,-0.03266,0.04757
missing_contact_mode_shift,minus_active_probe_value,0.57322,0.02102,0.54197,0.02150,0.09405,0.01755,0.12440,0.01159,0.25440,0.04615,0.14819,0.00142,0.35015,0.00423,0.56131,0.16475,0.04925,0.00193,0.11565,0.01083,0.26142,0.00219,0.20955,0.03309
missing_contact_mode_shift,minus_repair_memory,0.60059,0.02493,0.55681,0.02032,0.07381,0.01327,0.13214,0.01601,0.38191,0.03642,0.12198,0.00151,0.37052,0.00198,0.60411,0.05391,0.05988,0.00258,0.09910,0.00905,0.26013,0.00215,0.23470,0.04809
missing_contact_mode_shift,minus_false_abstention_penalty,0.54643,0.01789,0.59264,0.02138,0.20833,0.01434,0.09464,0.01531,0.36143,0.04484,0.12600,0.00164,0.34405,0.00329,0.60266,0.05019,0.07662,0.00216,0.16756,0.00604,0.22680,0.00136,0.13812,0.02592
missing_contact_mode_shift,minus_calibrated_risk,0.59941,0.02087,0.57342,0.02103,0.07679,0.01726,0.15238,0.02052,0.31587,0.03812,0.25507,0.00140,0.39351,0.00212,0.61341,0.04922,0.07114,0.00264,0.09989,0.00985,0.30034,0.00158,0.19648,0.04222
missing_contact_mode_shift,variance_only_bloat_score,0.46012,0.02847,0.49262,0.01694,0.25893,0.02405,0.09583,0.01036,0.30632,0.08331,0.27109,0.00143,0.61343,0.00403,0.42770,0.12819,0.05282,0.00275,0.21892,0.01597,0.34646,0.00374,-0.06336,0.05360
missing_contact_mode_shift,abstain_only_policy,0.29048,0.02470,0.16240,0.03979,0.52321,0.02356,0.04583,0.00888,0.25000,0.26337,0.21187,0.00191,0.76536,0.00271,0.03333,0.06533,0.06423,0.00212,0.38990,0.01327,0.33020,0.00249,-0.41257,0.04217
missing_contact_mode_shift,probe_without_repair_memory,0.59226,0.02569,0.58642,0.01423,0.07917,0.01687,0.13333,0.01327,0.38145,0.05932,0.12823,0.00115,0.41935,0.00436,0.63224,0.02456,0.06106,0.00148,0.10070,0.01103,0.27223,0.00272,0.20770,0.04158
