split,ablation,task_success,task_success_ci95,hidden_mechanism_f1,hidden_mechanism_f1_ci95,false_abstention,false_abstention_ci95,unsafe_action,unsafe_action_ci95,repair_precision,repair_precision_ci95,calibration_error,calibration_error_ci95,bloat_index,bloat_index_ci95,probe_efficiency,probe_efficiency_ci95,intervention_cost,intervention_cost_ci95,oracle_regret,oracle_regret_ci95,deployment_risk,deployment_risk_ci95,robust_utility,robust_utility_ci95
combined_missing_mechanics,full_mechanics_gap_auditor_v5,0.55595,0.01697,0.62001,0.01503,0.09167,0.01315,0.15238,0.01361,0.30891,0.03541,0.11570,0.00186,0.34990,0.00287,0.65396,0.05300,0.07109,0.00214,0.12348,0.00835,0.26879,0.00249,0.14794,0.03099
combined_missing_mechanics,minus_mechanism_classifier,0.53333,0.02551,0.40667,0.03193,0.08333,0.01739,0.16607,0.01235,0.24164,0.02932,0.16371,0.00121,0.50179,0.00501,0.40436,0.05581,0.06405,0.00257,0.12713,0.01026,0.31569,0.00323,0.07004,0.04083
combined_missing_mechanics,minus_uncertainty_bloat_index,0.48512,0.02322,0.58592,0.02734,0.18452,0.01975,0.14822,0.01235,0.37378,0.04424,0.15855,0.00150,0.62167,0.00251,0.61839,0.05020,0.07659,0.00189,0.18552,0.01145,0.34990,0.00322,-0.06524,0.03641
combined_missing_mechanics,minus_active_probe_value,0.54583,0.01486,0.55222,0.02929,0.08333,0.01739,0.15893,0.00835,0.29797,0.03722,0.14529,0.00156,0.36268,0.00487,0.53765,0.10750,0.05021,0.00194,0.12996,0.01070,0.27763,0.00312,0.13357,0.02433
combined_missing_mechanics,minus_repair_memory,0.57440,0.02060,0.60594,0.02347,0.07024,0.01264,0.14821,0.01120,0.35744,0.03422,0.11706,0.00152,0.38257,0.00404,0.61805,0.05296,0.06490,0.00274,0.11319,0.00798,0.27630,0.00290,0.17871,0.03191
combined_missing_mechanics,minus_false_abstention_penalty,0.52619,0.02988,0.62377,0.01949,0.19821,0.02152,0.10060,0.01106,0.37198,0.06010,0.12259,0.00214,0.35681,0.00376,0.64484,0.04241,0.07596,0.00190,0.17720,0.01285,0.24262,0.00288,0.10730,0.04890
combined_missing_mechanics,minus_calibrated_risk,0.55417,0.03545,0.61930,0.02017,0.08393,0.01540,0.17738,0.01880,0.35308,0.03325,0.25074,0.00149,0.40785,0.00334,0.62939,0.02884,0.07097,0.00219,0.12275,0.01045,0.31651,0.00345,0.10252,0.05843
combined_missing_mechanics,variance_only_bloat_score,0.41845,0.03350,0.52321,0.02976,0.25536,0.02230,0.15298,0.02936,0.31399,0.11666,0.26426,0.00236,0.62836,0.00447,0.59048,0.13092,0.05200,0.00193,0.24655,0.01281,0.36271,0.00214,-0.19121,0.06857
combined_missing_mechanics,abstain_only_policy,0.25834,0.02662,0.15438,0.02237,0.54702,0.01726,0.05238,0.01252,0.28333,0.25791,0.20688,0.00155,0.78687,0.00438,0.35000,0.24079,0.06724,0.00129,0.42736,0.01160,0.34885,0.00295,-0.48745,0.04429
combined_missing_mechanics,probe_without_repair_memory,0.55893,0.02493,0.59847,0.03114,0.08036,0.01220,0.15833,0.01508,0.34255,0.05501,0.12347,0.00148,0.43689,0.00581,0.63053,0.02608,0.06381,0.00254,0.12218,0.00957,0.29221,0.00397,0.12712,0.04120
