split,method,seed,rows,task_success,hidden_mechanism_f1,false_abstention,unsafe_action,repair_precision,calibration_error,bloat_index,probe_efficiency,intervention_cost,oracle_regret,deployment_risk,robust_utility
hard_aggregate,active_probe_then_plan,0,576,0.60938,0.57687,0.04688,0.15104,0.38999,0.11390,0.31626,0.66140,0.07519,0.08704,0.26438,0.24770
hard_aggregate,active_probe_then_plan,1,576,0.62847,0.56447,0.04861,0.14584,0.40553,0.11451,0.31335,0.55140,0.07611,0.08240,0.26158,0.27513
hard_aggregate,active_probe_then_plan,2,576,0.62847,0.57514,0.05209,0.14410,0.33751,0.11460,0.31272,0.58915,0.07821,0.08565,0.26252,0.27378
hard_aggregate,active_probe_then_plan,3,576,0.57292,0.58516,0.06423,0.17882,0.35039,0.11469,0.31529,0.61736,0.07923,0.09673,0.26504,0.16332
hard_aggregate,active_probe_then_plan,4,576,0.59896,0.52687,0.03646,0.16146,0.34734,0.11272,0.31910,0.54457,0.07654,0.08095,0.26664,0.23046
hard_aggregate,active_probe_then_plan,5,576,0.63021,0.55387,0.04167,0.16146,0.38437,0.11425,0.31360,0.57727,0.07691,0.07764,0.26140,0.26228
hard_aggregate,active_probe_then_plan,6,576,0.58333,0.60765,0.06076,0.16666,0.37654,0.11351,0.31383,0.60093,0.07599,0.09543,0.26333,0.19252
hard_aggregate,active_probe_then_plan,7,576,0.60591,0.58450,0.04514,0.13021,0.40209,0.11370,0.31443,0.59534,0.07656,0.08125,0.26453,0.27373
hard_aggregate,active_probe_then_plan,8,576,0.63021,0.59610,0.03993,0.14757,0.34158,0.11376,0.30801,0.56312,0.08177,0.07819,0.26097,0.28019
hard_aggregate,active_probe_then_plan,9,576,0.60590,0.52498,0.05035,0.16666,0.35362,0.11369,0.32048,0.52183,0.07598,0.08942,0.26511,0.22062
hard_aggregate,bayesian_model_expansion,0,576,0.54514,0.51865,0.11979,0.14757,0.24357,0.16943,0.42712,0.60823,0.05598,0.14051,0.28903,0.10603
hard_aggregate,bayesian_model_expansion,1,576,0.52604,0.56704,0.12847,0.14583,0.35233,0.17007,0.41846,0.56968,0.06105,0.13765,0.27884,0.08729
hard_aggregate,bayesian_model_expansion,2,576,0.55382,0.53247,0.10764,0.12153,0.35329,0.17035,0.41375,0.47826,0.06064,0.12145,0.27628,0.16357
hard_aggregate,bayesian_model_expansion,3,576,0.55035,0.56049,0.12153,0.13368,0.31983,0.16891,0.41858,0.66227,0.05982,0.13449,0.28166,0.13169
hard_aggregate,bayesian_model_expansion,4,576,0.55035,0.53382,0.13542,0.12500,0.34665,0.17002,0.42459,0.60551,0.05801,0.14342,0.28194,0.13117
hard_aggregate,bayesian_model_expansion,5,576,0.52604,0.56245,0.14236,0.15451,0.31187,0.17133,0.41845,0.63222,0.06138,0.14550,0.27871,0.06655
hard_aggregate,bayesian_model_expansion,6,576,0.56944,0.52791,0.11285,0.12153,0.34068,0.16865,0.41924,0.58791,0.06027,0.12739,0.28009,0.17275
hard_aggregate,bayesian_model_expansion,7,576,0.61979,0.58421,0.09028,0.10591,0.27470,0.16551,0.41457,0.56667,0.05758,0.11605,0.28072,0.26006
hard_aggregate,bayesian_model_expansion,8,576,0.57813,0.54595,0.07639,0.14931,0.33028,0.16700,0.40910,0.54693,0.05689,0.10666,0.27501,0.17637
hard_aggregate,bayesian_model_expansion,9,576,0.59201,0.54237,0.10417,0.11458,0.32033,0.16755,0.41327,0.66745,0.06036,0.12030,0.27927,0.21275
hard_aggregate,conformal_risk_gate,0,576,0.32639,0.20628,0.43056,0.06597,0.19444,0.32528,0.76815,0.08333,0.05731,0.34436,0.35954,-0.33821
hard_aggregate,conformal_risk_gate,1,576,0.35243,0.26640,0.45313,0.04514,0.35556,0.32654,0.76425,0.16667,0.06045,0.35255,0.35707,-0.29988
hard_aggregate,conformal_risk_gate,2,576,0.33507,0.26078,0.45139,0.04861,0.00000,0.32714,0.76073,0.11111,0.05908,0.34956,0.35254,-0.31803
hard_aggregate,conformal_risk_gate,3,576,0.34375,0.26380,0.43402,0.06771,0.08333,0.32510,0.76594,0.06667,0.05898,0.34544,0.35709,-0.32498
hard_aggregate,conformal_risk_gate,4,576,0.35764,0.25966,0.42187,0.06597,0.08333,0.32571,0.76588,0.11111,0.05698,0.33833,0.35765,-0.29960
hard_aggregate,conformal_risk_gate,5,576,0.36806,0.22139,0.43229,0.05035,0.05556,0.32795,0.76299,0.11111,0.05900,0.33842,0.35373,-0.27422
hard_aggregate,conformal_risk_gate,6,576,0.32465,0.26007,0.43403,0.07118,0.27778,0.32453,0.76464,0.27778,0.05825,0.34573,0.35633,-0.34795
hard_aggregate,conformal_risk_gate,7,576,0.35590,0.25371,0.42361,0.05903,0.08333,0.32412,0.76657,0.30000,0.05768,0.33901,0.35783,-0.29415
hard_aggregate,conformal_risk_gate,8,576,0.32118,0.26240,0.46875,0.05382,0.00000,0.32653,0.76306,0.50000,0.05997,0.36346,0.35434,-0.35344
hard_aggregate,conformal_risk_gate,9,576,0.35243,0.24375,0.44097,0.04688,0.00000,0.32636,0.76526,0.00000,0.05776,0.34668,0.35677,-0.29336
hard_aggregate,ensemble_variance_gate,0,576,0.40972,0.43803,0.25174,0.14236,0.34829,0.28513,0.59405,0.31548,0.04697,0.24803,0.35240,-0.17449
hard_aggregate,ensemble_variance_gate,1,576,0.41146,0.39292,0.23437,0.15278,0.37216,0.28679,0.59771,0.59596,0.04506,0.23806,0.35243,-0.17389
hard_aggregate,ensemble_variance_gate,2,576,0.43229,0.37998,0.25174,0.12673,0.16086,0.28762,0.59447,0.44643,0.04772,0.24101,0.35071,-0.12959
hard_aggregate,ensemble_variance_gate,3,576,0.41493,0.40831,0.24479,0.15451,0.20479,0.28528,0.59514,0.40952,0.04725,0.24482,0.35098,-0.18030
hard_aggregate,ensemble_variance_gate,4,576,0.42882,0.39219,0.24826,0.14757,0.09890,0.28552,0.59949,0.30000,0.04619,0.24685,0.35370,-0.16108
hard_aggregate,ensemble_variance_gate,5,576,0.42361,0.42342,0.25694,0.11805,0.13095,0.28817,0.59471,0.43333,0.04556,0.24566,0.35036,-0.13123
hard_aggregate,ensemble_variance_gate,6,576,0.41667,0.44218,0.24305,0.13021,0.27147,0.28580,0.59194,0.56667,0.04562,0.24070,0.35128,-0.14412
hard_aggregate,ensemble_variance_gate,7,576,0.43750,0.37363,0.21701,0.13889,0.18063,0.28344,0.59580,0.72222,0.04346,0.22813,0.35341,-0.11716
