split,reference,metric,mean_diff,ci95_diff,lower95_diff,upper95_diff,seeds
hard_aggregate,mean_world_model_mpc,task_success,0.09583,0.01936,0.07647,0.11519,10
hard_aggregate,mean_world_model_mpc,hidden_mechanism_f1,0.46658,0.02449,0.44208,0.49107,10
hard_aggregate,mean_world_model_mpc,unsafe_action,-0.05382,0.01516,-0.06898,-0.03866,10
hard_aggregate,mean_world_model_mpc,false_abstention,0.02257,0.00917,0.01339,0.03174,10
hard_aggregate,mean_world_model_mpc,bloat_index,0.01267,0.00240,0.01027,0.01507,10
hard_aggregate,mean_world_model_mpc,oracle_regret,-0.03865,0.00651,-0.04516,-0.03214,10
hard_aggregate,mean_world_model_mpc,robust_utility,0.15264,0.03935,0.11329,0.19199,10
hard_aggregate,ensemble_variance_gate,task_success,0.17830,0.02186,0.15643,0.20016,10
hard_aggregate,ensemble_variance_gate,hidden_mechanism_f1,0.18387,0.02704,0.15683,0.21090,10
hard_aggregate,ensemble_variance_gate,unsafe_action,0.00035,0.01332,-0.01297,0.01367,10
hard_aggregate,ensemble_variance_gate,false_abstention,-0.16111,0.01214,-0.17325,-0.14897,10
hard_aggregate,ensemble_variance_gate,bloat_index,-0.26044,0.00237,-0.26281,-0.25808,10
hard_aggregate,ensemble_variance_gate,oracle_regret,-0.13955,0.00813,-0.14768,-0.13143,10
hard_aggregate,ensemble_variance_gate,robust_utility,0.37821,0.04417,0.33404,0.42237,10
hard_aggregate,mc_dropout_uncertainty,task_success,0.17743,0.01804,0.15939,0.19547,10
hard_aggregate,mc_dropout_uncertainty,hidden_mechanism_f1,0.19995,0.02248,0.17747,0.22243,10
hard_aggregate,mc_dropout_uncertainty,unsafe_action,0.01424,0.01134,0.00290,0.02558,10
hard_aggregate,mc_dropout_uncertainty,false_abstention,-0.15972,0.01531,-0.17503,-0.14441,10
hard_aggregate,mc_dropout_uncertainty,bloat_index,-0.35272,0.00248,-0.35520,-0.35023,10
hard_aggregate,mc_dropout_uncertainty,oracle_regret,-0.14259,0.00916,-0.15175,-0.13343,10
hard_aggregate,mc_dropout_uncertainty,robust_utility,0.38654,0.03657,0.34997,0.42310,10
hard_aggregate,conformal_risk_gate,task_success,0.26267,0.01429,0.24838,0.27696,10
hard_aggregate,conformal_risk_gate,hidden_mechanism_f1,0.33921,0.01323,0.32598,0.35244,10
hard_aggregate,conformal_risk_gate,unsafe_action,0.08021,0.01334,0.06687,0.09355,10
hard_aggregate,conformal_risk_gate,false_abstention,-0.35903,0.00982,-0.36885,-0.34921,10
hard_aggregate,conformal_risk_gate,bloat_index,-0.43042,0.00231,-0.43272,-0.42811,10
hard_aggregate,conformal_risk_gate,oracle_regret,-0.24634,0.00555,-0.25189,-0.24078,10
hard_aggregate,conformal_risk_gate,robust_utility,0.55152,0.02985,0.52168,0.58137,10
hard_aggregate,epistemic_ensemble_planner,task_success,0.08316,0.01666,0.06650,0.09981,10
hard_aggregate,epistemic_ensemble_planner,hidden_mechanism_f1,0.13980,0.02217,0.11764,0.16197,10
hard_aggregate,epistemic_ensemble_planner,unsafe_action,0.00295,0.01477,-0.01182,0.01773,10
hard_aggregate,epistemic_ensemble_planner,false_abstention,-0.05243,0.00852,-0.06094,-0.04391,10
hard_aggregate,epistemic_ensemble_planner,bloat_index,-0.18499,0.00264,-0.18763,-0.18235,10
hard_aggregate,epistemic_ensemble_planner,oracle_regret,-0.05943,0.00474,-0.06417,-0.05469,10
hard_aggregate,epistemic_ensemble_planner,robust_utility,0.17311,0.03427,0.13884,0.20738,10
hard_aggregate,active_probe_then_plan,task_success,-0.00295,0.01759,-0.02054,0.01463,10
hard_aggregate,active_probe_then_plan,hidden_mechanism_f1,0.01947,0.02300,-0.00353,0.04247,10
hard_aggregate,active_probe_then_plan,unsafe_action,-0.01771,0.01567,-0.03338,-0.00203,10
hard_aggregate,active_probe_then_plan,false_abstention,0.03142,0.00658,0.02484,0.03800,10
hard_aggregate,active_probe_then_plan,bloat_index,0.01962,0.00246,0.01716,0.02209,10
hard_aggregate,active_probe_then_plan,oracle_regret,0.01455,0.00482,0.00973,0.01936,10
hard_aggregate,active_probe_then_plan,robust_utility,-0.00483,0.03990,-0.04473,0.03507,10
hard_aggregate,robust_mpc_fallback,task_success,-0.06059,0.01675,-0.07734,-0.04384,10
hard_aggregate,robust_mpc_fallback,hidden_mechanism_f1,0.44440,0.02174,0.42267,0.46614,10
hard_aggregate,robust_mpc_fallback,unsafe_action,0.08906,0.01440,0.07466,0.10347,10
hard_aggregate,robust_mpc_fallback,false_abstention,0.03212,0.00846,0.02365,0.04058,10
hard_aggregate,robust_mpc_fallback,bloat_index,-0.17517,0.00202,-0.17719,-0.17315,10
hard_aggregate,robust_mpc_fallback,oracle_regret,0.02783,0.00447,0.02336,0.03231,10
hard_aggregate,robust_mpc_fallback,robust_utility,-0.16158,0.03182,-0.19340,-0.12976,10
hard_aggregate,residual_dynamics_repair,task_success,0.03125,0.01563,0.01562,0.04687,10
hard_aggregate,residual_dynamics_repair,hidden_mechanism_f1,0.10102,0.01982,0.08120,0.12083,10
hard_aggregate,residual_dynamics_repair,unsafe_action,-0.01528,0.01511,-0.03039,-0.00016,10
hard_aggregate,residual_dynamics_repair,false_abstention,0.00694,0.01013,-0.00319,0.01708,10
hard_aggregate,residual_dynamics_repair,bloat_index,-0.06974,0.00288,-0.07262,-0.06686,10
hard_aggregate,residual_dynamics_repair,oracle_regret,-0.01080,0.00768,-0.01848,-0.00312,10
hard_aggregate,residual_dynamics_repair,robust_utility,0.06720,0.03754,0.02965,0.10474,10
hard_aggregate,bayesian_model_expansion,task_success,0.04531,0.03158,0.01373,0.07689,10
hard_aggregate,bayesian_model_expansion,hidden_mechanism_f1,0.04150,0.01196,0.02954,0.05346,10
hard_aggregate,bayesian_model_expansion,unsafe_action,0.00573,0.01649,-0.01076,0.02222,10
hard_aggregate,bayesian_model_expansion,false_abstention,-0.03386,0.01624,-0.05010,-0.01761,10
hard_aggregate,bayesian_model_expansion,bloat_index,-0.08338,0.00299,-0.08637,-0.08039,10
hard_aggregate,bayesian_model_expansion,oracle_regret,-0.02933,0.01126,-0.04059,-0.01806,10
hard_aggregate,bayesian_model_expansion,robust_utility,0.08632,0.06282,0.02350,0.14913,10
hard_aggregate,uncertainty_bloat_audit_v4,task_success,0.06562,0.02270,0.04292,0.08833,10
hard_aggregate,uncertainty_bloat_audit_v4,hidden_mechanism_f1,0.13996,0.01933,0.12063,0.15929,10
hard_aggregate,uncertainty_bloat_audit_v4,unsafe_action,-0.02934,0.01703,-0.04637,-0.01231,10
hard_aggregate,uncertainty_bloat_audit_v4,false_abstention,0.00590,0.00945,-0.00355,0.01535,10
hard_aggregate,uncertainty_bloat_audit_v4,bloat_index,-0.17680,0.00233,-0.17913,-0.17448,10
hard_aggregate,uncertainty_bloat_audit_v4,oracle_regret,-0.02779,0.00726,-0.03505,-0.02053,10
hard_aggregate,uncertainty_bloat_audit_v4,robust_utility,0.15403,0.04678,0.10725,0.20081,10
hard_aggregate,oracle_mechanics_repair,task_success,-0.12622,0.01791,-0.14412,-0.10831,10
hard_aggregate,oracle_mechanics_repair,hidden_mechanism_f1,-0.13730,0.01383,-0.15113,-0.12347,10
hard_aggregate,oracle_mechanics_repair,unsafe_action,0.05243,0.01280,0.03963,0.06523,10
hard_aggregate,oracle_mechanics_repair,false_abstention,0.03559,0.00702,0.02857,0.04260,10
hard_aggregate,oracle_mechanics_repair,bloat_index,0.21940,0.00159,0.21781,0.22099,10
hard_aggregate,oracle_mechanics_repair,oracle_regret,0.04410,0.00469,0.03941,0.04879,10
hard_aggregate,oracle_mechanics_repair,robust_utility,-0.28286,0.03459,-0.31746,-0.24827,10
hard_aggregate,oracle_full_state_policy,task_success,-0.15208,0.01938,-0.17146,-0.13271,10
hard_aggregate,oracle_full_state_policy,hidden_mechanism_f1,-0.16800,0.01379,-0.18179,-0.15420,10
hard_aggregate,oracle_full_state_policy,unsafe_action,0.07969,0.01374,0.06595,0.09343,10
hard_aggregate,oracle_full_state_policy,false_abstention,0.03194,0.00737,0.02457,0.03931,10
hard_aggregate,oracle_full_state_policy,bloat_index,0.27192,0.00302,0.26889,0.27494,10
hard_aggregate,oracle_full_state_policy,oracle_regret,0.05195,0.00604,0.04590,0.05799,10
hard_aggregate,oracle_full_state_policy,robust_utility,-0.35980,0.03990,-0.39970,-0.31990,10
