split,ablation,seed,rows,task_success,hidden_mechanism_f1,false_abstention,unsafe_action,repair_precision,calibration_error,bloat_index,probe_efficiency,intervention_cost,oracle_regret,deployment_risk,robust_utility
combined_missing_mechanics,abstain_only_policy,0,168,0.27381,0.17460,0.56548,0.03571,0.00000,0.20860,0.79154,0.00000,0.06644,0.43831,0.35253,-0.46543
combined_missing_mechanics,abstain_only_policy,1,168,0.25000,0.19697,0.53571,0.02976,0.00000,0.20349,0.78709,0.33333,0.06650,0.42339,0.35100,-0.46046
combined_missing_mechanics,abstain_only_policy,2,168,0.17857,0.10714,0.58333,0.04762,0.00000,0.21043,0.78957,1.00000,0.06840,0.44351,0.34811,-0.58600
combined_missing_mechanics,abstain_only_policy,3,168,0.24405,0.13793,0.52976,0.10119,0.00000,0.20778,0.78794,0.00000,0.06477,0.42395,0.34899,-0.55296
combined_missing_mechanics,abstain_only_policy,4,168,0.19048,0.11570,0.58333,0.06548,0.00000,0.20915,0.79383,1.00000,0.07007,0.45635,0.35233,-0.60392
combined_missing_mechanics,abstain_only_policy,5,168,0.29167,0.17391,0.52976,0.04167,0.00000,0.20779,0.78023,0.00000,0.06537,0.40878,0.34463,-0.42214
combined_missing_mechanics,abstain_only_policy,6,168,0.29167,0.18333,0.50595,0.04167,0.33333,0.20236,0.77838,0.50000,0.06525,0.40743,0.34425,-0.41026
combined_missing_mechanics,abstain_only_policy,7,168,0.29167,0.10084,0.53571,0.05357,1.00000,0.20717,0.79048,0.33333,0.06810,0.41909,0.34993,-0.44809
combined_missing_mechanics,abstain_only_policy,8,168,0.29762,0.16216,0.52381,0.04762,0.50000,0.20632,0.77404,0.00000,0.06650,0.40304,0.34019,-0.41700
combined_missing_mechanics,abstain_only_policy,9,168,0.27381,0.19118,0.57738,0.05952,1.00000,0.20572,0.79559,0.33333,0.07096,0.44972,0.35650,-0.50826
combined_missing_mechanics,full_mechanics_gap_auditor_v5,0,168,0.59524,0.60784,0.08333,0.14286,0.35714,0.11392,0.35005,0.63889,0.07075,0.11580,0.26814,0.20640
combined_missing_mechanics,full_mechanics_gap_auditor_v5,1,168,0.56548,0.58639,0.07143,0.13095,0.42373,0.11350,0.35349,0.55882,0.06980,0.10567,0.27004,0.20078
combined_missing_mechanics,full_mechanics_gap_auditor_v5,2,168,0.57143,0.61622,0.08333,0.13690,0.29032,0.11861,0.34878,0.58621,0.06915,0.11458,0.26644,0.19145
combined_missing_mechanics,full_mechanics_gap_auditor_v5,3,168,0.51786,0.61458,0.08929,0.17857,0.21053,0.11598,0.35522,0.55556,0.06676,0.13086,0.27456,0.07475
