split,ablation,metric,mean,ci95,seeds
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,task_success,0.60714,0.03017,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,hidden_mechanism_f1,0.60004,0.01582,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,false_abstention,0.09464,0.00960,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,unsafe_action,0.12143,0.01758,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,repair_precision,0.34214,0.03804,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,calibration_error,0.11830,0.00076,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,bloat_index,0.33263,0.00376,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,probe_efficiency,0.61647,0.05565,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,intervention_cost,0.06912,0.00217,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,oracle_regret,0.10607,0.00693,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,deployment_risk,0.24846,0.00239,10
missing_contact_mode_shift,full_mechanics_gap_auditor_v5,robust_utility,0.24978,0.04976,10
missing_contact_mode_shift,minus_mechanism_classifier,task_success,0.59524,0.02365,10
missing_contact_mode_shift,minus_mechanism_classifier,hidden_mechanism_f1,0.44797,0.02042,10
missing_contact_mode_shift,minus_mechanism_classifier,false_abstention,0.07083,0.01021,10
missing_contact_mode_shift,minus_mechanism_classifier,unsafe_action,0.13214,0.01443,10
missing_contact_mode_shift,minus_mechanism_classifier,repair_precision,0.27858,0.02939,10
missing_contact_mode_shift,minus_mechanism_classifier,calibration_error,0.16805,0.00117,10
missing_contact_mode_shift,minus_mechanism_classifier,bloat_index,0.47768,0.00242,10
missing_contact_mode_shift,minus_mechanism_classifier,probe_efficiency,0.45152,0.06091,10
missing_contact_mode_shift,minus_mechanism_classifier,intervention_cost,0.06310,0.00294,10
missing_contact_mode_shift,minus_mechanism_classifier,oracle_regret,0.09698,0.00638,10
missing_contact_mode_shift,minus_mechanism_classifier,deployment_risk,0.29480,0.00235,10
missing_contact_mode_shift,minus_mechanism_classifier,robust_utility,0.20060,0.03587,10
missing_contact_mode_shift,minus_uncertainty_bloat_index,task_success,0.50179,0.02159,10
missing_contact_mode_shift,minus_uncertainty_bloat_index,hidden_mechanism_f1,0.55205,0.02644,10
missing_contact_mode_shift,minus_uncertainty_bloat_index,false_abstention,0.20417,0.01766,10
missing_contact_mode_shift,minus_uncertainty_bloat_index,unsafe_action,0.13333,0.01706,10
