stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6650,0.0228
0.0,conformal_risk_filter,0.6981,0.0230
0.0,proposed_branch_mechanism,0.7636,0.0111
0.0,oracle_branch_upper_bound,0.8179,0.0132
0.2,scalar_uncertainty_planner,0.6045,0.0271
0.2,conformal_risk_filter,0.6488,0.0223
0.2,proposed_branch_mechanism,0.7345,0.0112
0.2,oracle_branch_upper_bound,0.7967,0.0152
0.4,scalar_uncertainty_planner,0.5483,0.0262
0.4,conformal_risk_filter,0.6021,0.0205
0.4,proposed_branch_mechanism,0.7038,0.0114
0.4,oracle_branch_upper_bound,0.7776,0.0153
0.6,scalar_uncertainty_planner,0.4971,0.0260
0.6,conformal_risk_filter,0.5540,0.0172
0.6,proposed_branch_mechanism,0.6752,0.0106
0.6,oracle_branch_upper_bound,0.7574,0.0140
0.8,scalar_uncertainty_planner,0.4424,0.0239
0.8,conformal_risk_filter,0.5026,0.0228
0.8,proposed_branch_mechanism,0.6474,0.0107
0.8,oracle_branch_upper_bound,0.7357,0.0133
1.0,scalar_uncertainty_planner,0.3838,0.0206
1.0,conformal_risk_filter,0.4567,0.0222
1.0,proposed_branch_mechanism,0.6193,0.0116
1.0,oracle_branch_upper_bound,0.7167,0.0140
