stress_axis,stress_level,method,task_success,task_success_ci95,hidden_mechanism_f1,hidden_mechanism_f1_ci95,false_abstention,false_abstention_ci95,unsafe_action,unsafe_action_ci95,repair_precision,repair_precision_ci95,calibration_error,calibration_error_ci95,bloat_index,bloat_index_ci95,probe_efficiency,probe_efficiency_ci95,intervention_cost,intervention_cost_ci95,oracle_regret,oracle_regret_ci95,deployment_risk,deployment_risk_ci95,robust_utility,robust_utility_ci95
contact_friction_shift,0.0,ensemble_variance_gate,0.40250,0.02634,0.39687,0.04061,0.23667,0.02579,0.15083,0.01659,0.29048,0.14649,0.27981,0.00199,0.61187,0.00490,0.26000,0.11920,0.04514,0.00271,0.25694,0.01600,0.36761,0.00383,-0.19393,0.04579
contact_friction_shift,0.0,conformal_risk_gate,0.30417,0.02098,0.20621,0.03343,0.47917,0.02591,0.05667,0.01329,0.20000,0.26133,0.32493,0.00178,0.78772,0.00335,0.16667,0.20078,0.06212,0.00218,0.38970,0.01492,0.37454,0.00289,-0.39809,0.03517
contact_friction_shift,0.0,active_probe_then_plan,0.55417,0.02736,0.59860,0.01859,0.06250,0.01564,0.17917,0.02757,0.38015,0.03442,0.11324,0.00228,0.32765,0.00266,0.59819,0.03824,0.07899,0.00256,0.10951,0.00828,0.27893,0.00241,0.13579,0.05577
contact_friction_shift,0.0,robust_mpc_fallback,0.61667,0.01722,0.14505,0.03053,0.05417,0.01294,0.06167,0.01725,0.31667,0.22553,0.22586,0.00162,0.52665,0.00368,0.10000,0.19600,0.03473,0.00121,0.09129,0.00724,0.25617,0.00241,0.31555,0.02623
contact_friction_shift,0.0,residual_dynamics_repair,0.55000,0.03258,0.51946,0.02946,0.06750,0.01321,0.18000,0.03177,0.29064,0.04235,0.15034,0.00127,0.41411,0.00548,0.52462,0.12477,0.05574,0.00262,0.12591,0.01009,0.29573,0.00411,0.10418,0.06805
contact_friction_shift,0.0,mechanics_gap_auditor_v5,0.55417,0.03053,0.58483,0.03379,0.08250,0.01729,0.16833,0.02687,0.33996,0.02758,0.11610,0.00207,0.35190,0.00458,0.60652,0.03997,0.06912,0.00231,0.12061,0.00644,0.26738,0.00377,0.13170,0.05596
contact_friction_shift,0.0,oracle_mechanics_repair,0.68250,0.02087,0.77299,0.02604,0.06250,0.01361,0.10250,0.01949,0.47198,0.03061,0.09209,0.00089,0.12233,0.00553,0.94816,0.02956,0.08917,0.00182,0.07591,0.00964,0.17311,0.00329,0.42930,0.04596
contact_friction_shift,0.2,ensemble_variance_gate,0.39583,0.02426,0.42682,0.04111,0.25333,0.02862,0.13667,0.00815,0.22012,0.08115,0.27783,0.00218,0.60886,0.00840,0.39762,0.25025,0.04734,0.00274,0.27083,0.02044,0.36897,0.00548,-0.19650,0.04751
contact_friction_shift,0.2,conformal_risk_gate,0.31417,0.01949,0.26542,0.03388,0.44583,0.01545,0.07083,0.00919,0.23667,0.22389,0.31943,0.00183,0.78118,0.00414,0.17500,0.20725,0.06013,0.00172,0.37846,0.01221,0.37345,0.00339,-0.38328,0.03750
contact_friction_shift,0.2,active_probe_then_plan,0.55917,0.02115,0.58888,0.02834,0.06583,0.01829,0.20333,0.01708,0.36244,0.03559,0.11373,0.00191,0.33033,0.00688,0.57320,0.03747,0.07833,0.00288,0.11739,0.01470,0.28326,0.00521,0.10499,0.04807
