stress_axis,stress_level,method,task_success,task_success_ci95,hidden_mechanism_f1,hidden_mechanism_f1_ci95,false_abstention,false_abstention_ci95,unsafe_action,unsafe_action_ci95,repair_precision,repair_precision_ci95,calibration_error,calibration_error_ci95,bloat_index,bloat_index_ci95,probe_efficiency,probe_efficiency_ci95,intervention_cost,intervention_cost_ci95,oracle_regret,oracle_regret_ci95,deployment_risk,deployment_risk_ci95,robust_utility,robust_utility_ci95
contact_friction_shift,0.2,robust_mpc_fallback,0.63583,0.01964,0.14300,0.02747,0.04583,0.01122,0.07417,0.01387,0.12000,0.19556,0.22366,0.00188,0.52636,0.00321,0.25000,0.21913,0.03373,0.00100,0.09197,0.00729,0.25870,0.00291,0.32294,0.03572
contact_friction_shift,0.2,residual_dynamics_repair,0.54667,0.03286,0.51039,0.04546,0.08083,0.00945,0.15000,0.02205,0.33999,0.04007,0.15030,0.00139,0.41202,0.00782,0.55461,0.12058,0.05843,0.00227,0.13049,0.01044,0.29486,0.00533,0.13001,0.06383
contact_friction_shift,0.2,mechanics_gap_auditor_v5,0.56917,0.02206,0.60238,0.03069,0.07167,0.01465,0.15667,0.01517,0.34203,0.04460,0.11505,0.00218,0.34794,0.00412,0.64904,0.06247,0.06915,0.00251,0.11567,0.00831,0.26836,0.00354,0.16948,0.03005
contact_friction_shift,0.2,oracle_mechanics_repair,0.65083,0.02547,0.74944,0.02269,0.06500,0.01110,0.11000,0.01394,0.48162,0.03580,0.09338,0.00116,0.12466,0.00516,0.97582,0.01629,0.08989,0.00248,0.07774,0.00614,0.17433,0.00446,0.38543,0.03683
contact_friction_shift,0.4,ensemble_variance_gate,0.38417,0.02264,0.42033,0.03957,0.25917,0.01985,0.14500,0.02287,0.27484,0.14854,0.27793,0.00125,0.61244,0.00450,0.36024,0.14294,0.04893,0.00187,0.28031,0.01367,0.37312,0.00345,-0.22699,0.05424
contact_friction_shift,0.4,conformal_risk_gate,0.30167,0.03778,0.26650,0.04365,0.44500,0.03538,0.07500,0.00730,0.06667,0.09980,0.31739,0.00290,0.78152,0.00673,0.20000,0.21669,0.06032,0.00299,0.38564,0.02209,0.37749,0.00380,-0.40400,0.06089
contact_friction_shift,0.4,active_probe_then_plan,0.56083,0.03858,0.59966,0.01993,0.06417,0.01335,0.17667,0.02785,0.41071,0.05122,0.11351,0.00198,0.32629,0.00529,0.63076,0.04453,0.07919,0.00302,0.11750,0.01064,0.28354,0.00353,0.14154,0.07240
contact_friction_shift,0.4,robust_mpc_fallback,0.59833,0.01307,0.17645,0.04494,0.05167,0.00998,0.08833,0.01360,0.18333,0.14970,0.22208,0.00122,0.52638,0.00541,0.20000,0.20545,0.03529,0.00133,0.10011,0.00699,0.26128,0.00260,0.26094,0.01841
contact_friction_shift,0.4,residual_dynamics_repair,0.53000,0.03305,0.50838,0.04311,0.09583,0.01404,0.17167,0.02735,0.31449,0.04070,0.14926,0.00206,0.41626,0.00713,0.43586,0.07371,0.05957,0.00225,0.14563,0.00902,0.30117,0.00371,0.07114,0.06580
contact_friction_shift,0.4,mechanics_gap_auditor_v5,0.56583,0.01763,0.60636,0.03220,0.07667,0.01307,0.17000,0.01725,0.39055,0.04227,0.11529,0.00112,0.34708,0.00659,0.60733,0.05143,0.06747,0.00237,0.12079,0.00901,0.27021,0.00437,0.14571,0.03869
contact_friction_shift,0.4,oracle_mechanics_repair,0.67417,0.02500,0.76978,0.02083,0.05500,0.01067,0.09333,0.01213,0.49806,0.03320,0.09505,0.00151,0.12050,0.00603,0.93230,0.03367,0.08777,0.00272,0.07461,0.00726,0.17591,0.00391,0.43735,0.03602
contact_friction_shift,0.6,ensemble_variance_gate,0.37167,0.01809,0.43673,0.03167,0.23833,0.02437,0.16417,0.01560,0.19779,0.12534,0.27489,0.00201,0.60635,0.00328,0.46012,0.25205,0.04751,0.00259,0.27841,0.01538,0.37170,0.00325,-0.25106,0.03980
contact_friction_shift,0.6,conformal_risk_gate,0.27750,0.02411,0.28767,0.03181,0.45583,0.01243,0.06583,0.01623,0.07500,0.10458,0.31669,0.00164,0.77691,0.00287,0.23333,0.21338,0.06273,0.00186,0.40114,0.01184,0.37684,0.00306,-0.42804,0.04175
contact_friction_shift,0.6,active_probe_then_plan,0.57083,0.02401,0.62195,0.03157,0.06333,0.01637,0.19500,0.03062,0.41236,0.05069,0.11505,0.00124,0.32114,0.00645,0.59210,0.06413,0.08040,0.00314,0.11939,0.01254,0.28272,0.00356,0.12921,0.05736
contact_friction_shift,0.6,robust_mpc_fallback,0.60750,0.02170,0.14668,0.02527,0.05167,0.01163,0.09500,0.01889,0.35000,0.25974,0.22115,0.00102,0.52319,0.00502,0.36000,0.24480,0.03532,0.00125,0.10369,0.00880,0.26237,0.00237,0.26104,0.04254
contact_friction_shift,0.6,residual_dynamics_repair,0.52000,0.03033,0.48264,0.02900,0.06333,0.01039,0.18667,0.02167,0.28133,0.03551,0.14917,0.00201,0.41618,0.00424,0.44156,0.08369,0.05604,0.00211,0.13449,0.00812,0.30234,0.00350,0.06318,0.05405
contact_friction_shift,0.6,mechanics_gap_auditor_v5,0.56500,0.03585,0.58090,0.02062,0.08500,0.01137,0.15000,0.01481,0.35354,0.03497,0.11716,0.00177,0.34887,0.00505,0.61209,0.05680,0.06941,0.00253,0.12549,0.01118,0.27289,0.00485,0.16289,0.05451
contact_friction_shift,0.6,oracle_mechanics_repair,0.66083,0.01902,0.76237,0.01454,0.06167,0.01465,0.10417,0.01248,0.46339,0.03576,0.09830,0.00130,0.12326,0.00379,0.94415,0.03203,0.08942,0.00273,0.08194,0.01208,0.18027,0.00417,0.40288,0.03949
contact_friction_shift,0.8,ensemble_variance_gate,0.36833,0.03237,0.44208,0.03664,0.20000,0.02787,0.17917,0.02351,0.35175,0.14237,0.26868,0.00298,0.60689,0.00396,0.40357,0.20095,0.04451,0.00244,0.26974,0.01654,0.37821,0.00388,-0.25118,0.05930
contact_friction_shift,0.8,conformal_risk_gate,0.27416,0.03271,0.28205,0.05531,0.40750,0.03846,0.09500,0.01465,0.40333,0.25591,0.30784,0.00460,0.77753,0.00796,0.25000,0.22448,0.06182,0.00324,0.39839,0.02417,0.38365,0.00533,-0.44473,0.05632
contact_friction_shift,0.8,active_probe_then_plan,0.51917,0.02531,0.60753,0.02390,0.06500,0.01630,0.19333,0.02960,0.40264,0.04086,0.11422,0.00197,0.33082,0.00319,0.58513,0.05300,0.07682,0.00157,0.13160,0.00715,0.29441,0.00319,0.07182,0.05518
contact_friction_shift,0.8,robust_mpc_fallback,0.55000,0.02008,0.16509,0.03774,0.06167,0.01382,0.09250,0.01344,0.22167,0.19661,0.21732,0.00221,0.52976,0.00628,0.21667,0.20689,0.03641,0.00154,0.12027,0.00919,0.26939,0.00353,0.19252,0.03207
contact_friction_shift,0.8,residual_dynamics_repair,0.51250,0.02154,0.54166,0.02490,0.07584,0.00824,0.19334,0.01819,0.31906,0.05059,0.14635,0.00187,0.41239,0.00322,0.54246,0.09671,0.05899,0.00175,0.15089,0.00849,0.30820,0.00427,0.03446,0.03972
contact_friction_shift,0.8,mechanics_gap_auditor_v5,0.49667,0.02680,0.63129,0.03060,0.08750,0.01709,0.18583,0.01723,0.41484,0.04266,0.11584,0.00204,0.34418,0.00603,0.62776,0.03742,0.07092,0.00374,0.13820,0.01125,0.27608,0.00479,0.04375,0.04346
contact_friction_shift,0.8,oracle_mechanics_repair,0.67583,0.02129,0.78790,0.02468,0.05667,0.01213,0.10667,0.01990,0.49845,0.02930,0.10098,0.00159,0.11941,0.00399,0.97099,0.02007,0.08922,0.00189,0.08202,0.00929,0.18429,0.00403,0.41811,0.04746
contact_friction_shift,1.0,ensemble_variance_gate,0.36750,0.02224,0.40120,0.03231,0.19750,0.01560,0.15917,0.01605,0.34341,0.12522,0.26685,0.00201,0.61126,0.00375,0.47976,0.10876,0.04796,0.00146,0.28693,0.00770,0.38394,0.00347,-0.23595,0.04316
contact_friction_shift,1.0,conformal_risk_gate,0.26667,0.01481,0.29860,0.05528,0.36333,0.02831,0.09750,0.01541,0.12500,0.19668,0.30345,0.00307,0.77525,0.00475,0.39167,0.26116,0.06239,0.00232,0.40469,0.01013,0.38648,0.00355,-0.43785,0.02442
contact_friction_shift,1.0,active_probe_then_plan,0.49083,0.03599,0.63454,0.02905,0.05500,0.00949,0.23250,0.01829,0.43900,0.05346,0.11621,0.00157,0.32090,0.00489,0.62185,0.04911,0.07842,0.00364,0.13233,0.00889,0.29225,0.00430,0.00096,0.06147
contact_friction_shift,1.0,robust_mpc_fallback,0.56917,0.02787,0.17252,0.02997,0.05333,0.01270,0.09750,0.02123,0.25833,0.25356,0.21489,0.00213,0.52950,0.00325,0.22500,0.21785,0.03651,0.00116,0.12263,0.01055,0.27269,0.00269,0.20817,0.05403
contact_friction_shift,1.0,residual_dynamics_repair,0.48583,0.03022,0.51900,0.03076,0.07167,0.00949,0.20083,0.01746,0.27089,0.04256,0.14553,0.00175,0.41571,0.00461,0.48692,0.04481,0.05939,0.00281,0.15981,0.00753,0.31505,0.00259,-0.00478,0.05037
contact_friction_shift,1.0,mechanics_gap_auditor_v5,0.51500,0.01735,0.64626,0.03562,0.07750,0.01034,0.17667,0.01497,0.38902,0.04172,0.11654,0.00157,0.34245,0.00730,0.69440,0.06763,0.07202,0.00302,0.14319,0.01016,0.28143,0.00389,0.07592,0.03200
contact_friction_shift,1.0,oracle_mechanics_repair,0.64250,0.01924,0.78783,0.01553,0.05167,0.01574,0.11833,0.00871,0.49448,0.03083,0.10370,0.00196,0.11742,0.00570,0.95693,0.02954,0.09121,0.00129,0.08917,0.01129,0.18859,0.00327,0.36914,0.03655
actuator_saturation,0.0,ensemble_variance_gate,0.39333,0.03372,0.40995,0.02409,0.26333,0.02274,0.13500,0.02034,0.32111,0.15316,0.28129,0.00133,0.61475,0.00376,0.48583,0.16992,0.04723,0.00293,0.27359,0.01417,0.37099,0.00285,-0.20427,0.05473
actuator_saturation,0.0,conformal_risk_gate,0.31167,0.02757,0.23097,0.03846,0.46917,0.03444,0.06500,0.01083,0.13667,0.15290,0.32216,0.00266,0.78774,0.00393,0.10000,0.13067,0.06100,0.00307,0.38622,0.01799,0.37551,0.00209,-0.39459,0.04650
actuator_saturation,0.0,active_probe_then_plan,0.58583,0.01421,0.61068,0.03096,0.06250,0.01506,0.17000,0.02125,0.42714,0.04340,0.11225,0.00151,0.32599,0.00483,0.59013,0.04872,0.07695,0.00368,0.10864,0.01063,0.27850,0.00352,0.18041,0.03112
actuator_saturation,0.0,robust_mpc_fallback,0.62167,0.02509,0.18476,0.04443,0.06083,0.01871,0.07000,0.01270,0.15000,0.20917,0.22506,0.00156,0.52859,0.00545,0.05000,0.09800,0.03538,0.00158,0.09812,0.01045,0.25730,0.00256,0.30331,0.02487
actuator_saturation,0.0,residual_dynamics_repair,0.55417,0.02863,0.52332,0.03864,0.07583,0.00957,0.16667,0.02577,0.31264,0.04803,0.14990,0.00181,0.41682,0.00493,0.49006,0.07875,0.05657,0.00158,0.12914,0.00536,0.29733,0.00305,0.11878,0.05990
actuator_saturation,0.0,mechanics_gap_auditor_v5,0.57083,0.03734,0.63265,0.01606,0.07750,0.01887,0.14333,0.01883,0.37949,0.05253,0.11375,0.00175,0.34554,0.00446,0.60765,0.08074,0.06985,0.00158,0.11271,0.01293,0.26511,0.00373,0.18697,0.06388
actuator_saturation,0.0,oracle_mechanics_repair,0.69167,0.01615,0.77524,0.01594,0.05333,0.01039,0.10500,0.01147,0.47868,0.02359,0.09170,0.00148,0.12162,0.00380,0.96771,0.02926,0.08983,0.00289,0.07288,0.00575,0.17189,0.00246,0.44082,0.02728
actuator_saturation,0.2,ensemble_variance_gate,0.41167,0.04295,0.43111,0.05153,0.22583,0.01955,0.14083,0.02404,0.31076,0.15819,0.27707,0.00142,0.60768,0.00727,0.37250,0.20464,0.04629,0.00235,0.25274,0.01211,0.36807,0.00557,-0.16469,0.07373
actuator_saturation,0.2,conformal_risk_gate,0.30834,0.02860,0.28220,0.03261,0.44167,0.02600,0.07750,0.01219,0.05000,0.09800,0.31851,0.00274,0.78070,0.00455,0.48333,0.25974,0.06027,0.00213,0.37558,0.01391,0.37549,0.00313,-0.39419,0.04171
actuator_saturation,0.2,active_probe_then_plan,0.54750,0.03212,0.61778,0.03919,0.06583,0.01204,0.18000,0.01936,0.37121,0.03797,0.11316,0.00116,0.32795,0.00730,0.59310,0.06638,0.07736,0.00263,0.11436,0.01045,0.28241,0.00494,0.12483,0.05593
actuator_saturation,0.2,robust_mpc_fallback,0.58667,0.02221,0.14310,0.03198,0.06833,0.01457,0.07500,0.01822,0.26667,0.27200,0.22514,0.00087,0.53014,0.00659,0.03333,0.06533,0.03563,0.00127,0.10496,0.01148,0.25865,0.00348,0.25509,0.04640
actuator_saturation,0.2,residual_dynamics_repair,0.54250,0.02616,0.50723,0.03643,0.08583,0.02038,0.15583,0.01090,0.28602,0.02345,0.14993,0.00250,0.41660,0.00397,0.52055,0.07203,0.05848,0.00318,0.13728,0.00922,0.30003,0.00333,0.11194,0.03917
actuator_saturation,0.2,mechanics_gap_auditor_v5,0.56167,0.02625,0.62164,0.01910,0.06750,0.01845,0.16583,0.02316,0.36197,0.04899,0.11388,0.00139,0.34398,0.00388,0.57424,0.06974,0.06924,0.00218,0.11291,0.01150,0.26670,0.00433,0.15472,0.04059
actuator_saturation,0.2,oracle_mechanics_repair,0.67250,0.02840,0.78999,0.02658,0.05417,0.01223,0.10917,0.01623,0.47077,0.04522,0.09340,0.00167,0.11991,0.00556,0.97798,0.02556,0.08858,0.00268,0.07437,0.00805,0.17468,0.00257,0.41628,0.04633
actuator_saturation,0.4,ensemble_variance_gate,0.39750,0.01979,0.37634,0.03110,0.25333,0.01981,0.15667,0.01593,0.29405,0.12085,0.27862,0.00238,0.61466,0.00592,0.31833,0.15677,0.04803,0.00231,0.27338,0.01419,0.37287,0.00449,-0.22283,0.04823
actuator_saturation,0.4,conformal_risk_gate,0.30833,0.02622,0.30114,0.02598,0.45917,0.01813,0.06583,0.01128,0.32500,0.29264,0.31911,0.00212,0.78017,0.00574,0.37500,0.28525,0.06168,0.00097,0.38886,0.01048,0.37571,0.00444,-0.39375,0.04120
actuator_saturation,0.4,active_probe_then_plan,0.56000,0.03909,0.60335,0.04537,0.07500,0.01377,0.17250,0.02577,0.36796,0.05745,0.11285,0.00114,0.32947,0.00705,0.60111,0.03269,0.08024,0.00303,0.12175,0.00908,0.28432,0.00402,0.13791,0.06521
actuator_saturation,0.4,robust_mpc_fallback,0.62333,0.03010,0.15963,0.04206,0.06333,0.01121,0.07750,0.00772,0.10000,0.13067,0.22306,0.00154,0.52924,0.00581,0.26667,0.27200,0.03578,0.00090,0.10566,0.00644,0.26082,0.00345,0.29078,0.03438
actuator_saturation,0.4,residual_dynamics_repair,0.52584,0.02379,0.51252,0.03062,0.08083,0.01117,0.15583,0.01598,0.25568,0.03397,0.14987,0.00138,0.41854,0.00514,0.49465,0.08981,0.05652,0.00217,0.13628,0.00697,0.30241,0.00356,0.09806,0.03803
actuator_saturation,0.4,mechanics_gap_auditor_v5,0.54250,0.04680,0.62274,0.02320,0.07833,0.00778,0.16917,0.03222,0.37724,0.04339,0.11493,0.00075,0.34498,0.00483,0.66260,0.04265,0.06897,0.00289,0.12113,0.00881,0.26891,0.00446,0.12262,0.08677
actuator_saturation,0.4,oracle_mechanics_repair,0.66667,0.01789,0.77569,0.02347,0.05917,0.00618,0.11000,0.01027,0.48850,0.03248,0.09482,0.00090,0.11878,0.00380,0.98359,0.01641,0.08994,0.00196,0.07585,0.00743,0.17410,0.00429,0.40637,0.02136
actuator_saturation,0.6,ensemble_variance_gate,0.36333,0.02713,0.44136,0.04556,0.26333,0.01600,0.14417,0.01823,0.44024,0.13658,0.27657,0.00141,0.60917,0.00560,0.44024,0.20619,0.04839,0.00276,0.28814,0.01229,0.37218,0.00431,-0.25109,0.05175
actuator_saturation,0.6,conformal_risk_gate,0.31333,0.01858,0.28346,0.04000,0.40667,0.02333,0.07750,0.01312,0.25000,0.26337,0.31370,0.00151,0.77715,0.00577,0.10000,0.19600,0.05745,0.00210,0.36681,0.01623,0.37732,0.00433,-0.36759,0.03095
actuator_saturation,0.6,active_probe_then_plan,0.53167,0.03292,0.59472,0.02720,0.06083,0.00975,0.22500,0.02678,0.37968,0.05774,0.11284,0.00106,0.32742,0.00543,0.62626,0.04519,0.07943,0.00239,0.12146,0.00468,0.28555,0.00339,0.05129,0.05833
actuator_saturation,0.6,robust_mpc_fallback,0.62083,0.01921,0.17351,0.03341,0.05750,0.01829,0.08000,0.01445,0.17000,0.20671,0.22229,0.00244,0.52626,0.00598,0.20833,0.20552,0.03501,0.00148,0.10386,0.01096,0.26219,0.00312,0.28967,0.03777
actuator_saturation,0.6,residual_dynamics_repair,0.50583,0.02892,0.49355,0.02708,0.07917,0.01810,0.17833,0.02636,0.26347,0.04517,0.14897,0.00278,0.41990,0.00421,0.54649,0.11621,0.05676,0.00178,0.14048,0.00739,0.30505,0.00427,0.04834,0.04230
actuator_saturation,0.6,mechanics_gap_auditor_v5,0.53333,0.04030,0.60187,0.02770,0.09833,0.02516,0.18333,0.01917,0.37546,0.03591,0.11632,0.00186,0.34981,0.00490,0.57824,0.08590,0.07226,0.00325,0.13543,0.01539,0.27316,0.00305,0.07790,0.07062
actuator_saturation,0.6,oracle_mechanics_repair,0.65000,0.02871,0.77742,0.02302,0.04750,0.01034,0.11167,0.01981,0.47876,0.03549,0.09656,0.00131,0.12013,0.00513,0.94275,0.04575,0.08643,0.00326,0.07207,0.00913,0.17807,0.00419,0.39532,0.05304
actuator_saturation,0.8,ensemble_variance_gate,0.39583,0.03044,0.45859,0.03553,0.21917,0.02009,0.16083,0.02095,0.33918,0.12494,0.27197,0.00227,0.60734,0.00338,0.40798,0.12376,0.04610,0.00206,0.26808,0.01330,0.37704,0.00186,-0.20928,0.05882
actuator_saturation,0.8,conformal_risk_gate,0.26000,0.01883,0.27052,0.03728,0.43500,0.02106,0.08083,0.01441,0.21667,0.14649,0.31240,0.00241,0.78280,0.00372,0.42500,0.23156,0.06203,0.00183,0.39948,0.01295,0.38313,0.00303,-0.45559,0.03566
actuator_saturation,0.8,active_probe_then_plan,0.52750,0.02922,0.64166,0.03841,0.06000,0.00968,0.22250,0.01979,0.42430,0.03780,0.11395,0.00099,0.32422,0.00413,0.63452,0.03190,0.07843,0.00296,0.12610,0.00968,0.28777,0.00282,0.04976,0.05668
actuator_saturation,0.8,robust_mpc_fallback,0.59083,0.02661,0.17046,0.02747,0.05500,0.01039,0.09250,0.01128,0.26429,0.25903,0.21896,0.00154,0.52849,0.00353,0.21667,0.14649,0.03562,0.00082,0.11127,0.00623,0.26638,0.00198,0.24101,0.03183
actuator_saturation,0.8,residual_dynamics_repair,0.50417,0.01638,0.50550,0.03075,0.07583,0.01829,0.18916,0.02755,0.28404,0.05615,0.14660,0.00159,0.42028,0.00592,0.44558,0.15404,0.05580,0.00150,0.14690,0.00992,0.30802,0.00316,0.03194,0.03962
actuator_saturation,0.8,mechanics_gap_auditor_v5,0.54250,0.02391,0.63024,0.03449,0.08667,0.02025,0.16750,0.01985,0.41997,0.04247,0.11517,0.00183,0.34453,0.00487,0.64322,0.08683,0.07056,0.00112,0.13316,0.01184,0.27400,0.00279,0.11516,0.04000
actuator_saturation,0.8,oracle_mechanics_repair,0.65750,0.03188,0.78023,0.01660,0.05250,0.01005,0.11667,0.01334,0.49344,0.03891,0.09898,0.00108,0.11928,0.00461,0.97378,0.03305,0.09098,0.00199,0.07934,0.00764,0.18185,0.00457,0.38983,0.04220
actuator_saturation,1.0,ensemble_variance_gate,0.37750,0.03156,0.42395,0.03008,0.22250,0.02668,0.16417,0.01169,0.28952,0.07697,0.27028,0.00234,0.61013,0.00727,0.40809,0.09453,0.04720,0.00194,0.27818,0.01588,0.37863,0.00575,-0.23896,0.04780
actuator_saturation,1.0,conformal_risk_gate,0.28500,0.02202,0.25825,0.03429,0.39500,0.02401,0.10083,0.02464,0.33167,0.25193,0.30945,0.00206,0.77841,0.00551,0.16667,0.13773,0.05914,0.00189,0.38468,0.01585,0.38201,0.00481,-0.42878,0.05176
actuator_saturation,1.0,active_probe_then_plan,0.50500,0.02768,0.61467,0.03044,0.06750,0.01204,0.20667,0.02930,0.37882,0.04652,0.11433,0.00145,0.32881,0.00399,0.59577,0.04510,0.08107,0.00239,0.13917,0.01067,0.29340,0.00428,0.03566,0.06729
actuator_saturation,1.0,robust_mpc_fallback,0.56833,0.02795,0.16496,0.03447,0.06334,0.00980,0.10000,0.01440,0.32833,0.23196,0.21809,0.00198,0.52754,0.00424,0.18333,0.20917,0.03683,0.00178,0.12007,0.00872,0.26820,0.00352,0.20131,0.03759
actuator_saturation,1.0,residual_dynamics_repair,0.49750,0.03090,0.54107,0.03085,0.08083,0.01117,0.19083,0.01586,0.32354,0.03028,0.14748,0.00258,0.41135,0.00585,0.52754,0.09259,0.05964,0.00182,0.15139,0.00865,0.30600,0.00414,0.02020,0.04182
actuator_saturation,1.0,mechanics_gap_auditor_v5,0.50583,0.02787,0.63874,0.03296,0.09000,0.01648,0.17583,0.01605,0.38340,0.04322,0.11641,0.00209,0.34301,0.00490,0.66435,0.04078,0.07332,0.00201,0.14106,0.01025,0.27664,0.00458,0.06256,0.05079
actuator_saturation,1.0,oracle_mechanics_repair,0.61750,0.03447,0.77149,0.02268,0.05250,0.00913,0.12333,0.01373,0.48472,0.03991,0.09963,0.00211,0.12074,0.00544,0.99100,0.01216,0.09039,0.00271,0.08322,0.00670,0.18392,0.00415,0.33952,0.03701
sensor_dropout,0.0,ensemble_variance_gate,0.40000,0.02733,0.39557,0.02336,0.22417,0.02251,0.15667,0.02504,0.26624,0.15680,0.27918,0.00218,0.61019,0.00564,0.58333,0.13336,0.04483,0.00233,0.25190,0.01439,0.36652,0.00488,-0.19526,0.06266
sensor_dropout,0.0,conformal_risk_gate,0.29667,0.02221,0.26288,0.03022,0.47083,0.02222,0.07333,0.00722,0.08333,0.11158,0.32250,0.00242,0.78376,0.00613,0.20000,0.21669,0.06130,0.00210,0.38784,0.01130,0.37288,0.00471,-0.42047,0.03555
sensor_dropout,0.0,active_probe_then_plan,0.56250,0.01906,0.57904,0.04023,0.04750,0.01462,0.20417,0.02168,0.37048,0.06305,0.11224,0.00215,0.32968,0.00604,0.59799,0.04923,0.07938,0.00442,0.10268,0.01101,0.27949,0.00475,0.12200,0.04403
sensor_dropout,0.0,robust_mpc_fallback,0.63750,0.02965,0.13473,0.03440,0.05000,0.01521,0.06167,0.01465,0.25000,0.17044,0.22551,0.00184,0.52826,0.00725,0.25000,0.20660,0.03538,0.00155,0.08840,0.00852,0.25602,0.00368,0.33890,0.03662
sensor_dropout,0.0,residual_dynamics_repair,0.51250,0.02580,0.50551,0.04341,0.08167,0.00905,0.17333,0.01666,0.29898,0.04894,0.15061,0.00189,0.41679,0.00741,0.52693,0.10236,0.05772,0.00159,0.13180,0.00702,0.29494,0.00419,0.06460,0.04563
sensor_dropout,0.0,mechanics_gap_auditor_v5,0.58083,0.03529,0.62949,0.03609,0.08167,0.01648,0.13583,0.00913,0.38226,0.05891,0.11452,0.00183,0.34368,0.00510,0.67663,0.04874,0.07088,0.00307,0.11333,0.01042,0.26374,0.00355,0.20438,0.04289
sensor_dropout,0.0,oracle_mechanics_repair,0.69500,0.03718,0.76450,0.02704,0.05333,0.01619,0.09583,0.01620,0.48384,0.03113,0.09185,0.00098,0.12269,0.00489,0.95878,0.04814,0.08712,0.00190,0.06936,0.01238,0.17184,0.00416,0.45777,0.06178
sensor_dropout,0.2,ensemble_variance_gate,0.38167,0.01835,0.39775,0.03220,0.24750,0.02123,0.15083,0.02156,0.36976,0.14206,0.28055,0.00267,0.61870,0.00401,0.42667,0.15176,0.04676,0.00295,0.26701,0.01182,0.37063,0.00383,-0.22660,0.04348
sensor_dropout,0.2,conformal_risk_gate,0.29583,0.01967,0.21437,0.03030,0.46750,0.02760,0.06417,0.01243,0.35000,0.29400,0.32282,0.00277,0.79289,0.00503,0.07500,0.10458,0.06202,0.00238,0.39046,0.01822,0.37660,0.00348,-0.41231,0.03577
